Referee;Target;Results
Adrian Cordero Vega;Elche;5
Adrian Cordero Vega;At. Bilbao;2
Adrian Cordero Vega;Cadiz;4
Adrian Cordero Vega;Rayo Vallecano;8
Adrian Cordero Vega;Getafe;11
Adrian Cordero Vega;Real Sociedad;1
Adrian Cordero Vega;Villarreal;1
Adrian Cordero Vega;Osasuna;5
Adrian Cordero Vega;Granada;4
Adrian Cordero Vega;Celta;5
Adrian Cordero Vega;Alaves;3
Adrian Cordero Vega;Levante;3
Antonio Mateo Lahoz;Mallorca;1
Antonio Mateo Lahoz;Betis;4
Antonio Mateo Lahoz;Celta;2
Antonio Mateo Lahoz;At. Bilbao;1
Antonio Mateo Lahoz;Real Sociedad;2
Antonio Mateo Lahoz;Sevilla;4
Antonio Mateo Lahoz;Alaves;2
Antonio Mateo Lahoz;At. Madrid;3
Antonio Mateo Lahoz;Español;1
Antonio Mateo Lahoz;Rayo Vallecano;2
Antonio Mateo Lahoz;Barcelona;2
Jesus Gil Manzano;Valencia;9
Jesus Gil Manzano;Getafe;3
Jesus Gil Manzano;Rayo Vallecano;1
Jesus Gil Manzano;Granada;4
Jesus Gil Manzano;At. Madrid;4
Jesus Gil Manzano;At. Bilbao;2
Jesus Gil Manzano;R. Madrid;1
Jesus Gil Manzano;Villarreal;3
Jesus Gil Manzano;Barcelona;2
Jesus Gil Manzano;Alaves;1
Jesus Gil Manzano;Elche;1
Santiago Jaime Latre;Cadiz;2
Santiago Jaime Latre;Levante;5
Santiago Jaime Latre;R. Sociedad;3
Santiago Jaime Latre;Rayo Vallecano;6
Santiago Jaime Latre;Barcelona;3
Santiago Jaime Latre;Granada;6	
Santiago Jaime Latre;Betis;1
Santiago Jaime Latre;Getafe;3
Santiago Jaime Latre;Elche;2
Santiago Jaime Latre;Mallorca;4
Santiago Jaime Latre;Sevilla;6
Santiago Jaime Latre;At. Bilbao;3